"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PIG-N",0.474825000973746,0.106179214155082,1,0.708,1,"PIG-N"
"CG8654",0.474916309109141,-0.0294326555848912,0.542,0.167,1,"CG8654"
"Rpt6",0.474917522192955,-0.0688662214954254,1,0.958,1,"Rpt6"
"Pgm2b",0.474975303592565,0.0259375146769072,0.375,0.083,1,"Pgm2b"
"Stalker4{}2592",0.474982895278833,-0.049242267822863,0.875,0.583,1,"Stalker4{}2592"
"CG32485",0.475173857696594,0.0990674361981081,1,0.917,1,"CG32485"
"CG6424",0.475199471046057,0.0763426552323305,1,1,1,"CG6424"
"PGAP3",0.475255126553399,0.10581844903982,1,0.667,1,"PGAP3"
"S{}1192",0.475260457789737,0.0200846919929747,0.25,0.042,1,"S{}1192"
"chif",0.475276785834264,0.0857552762219776,1,1,1,"chif"
"asRNA:CR44063",0.475414953234967,-0.0324305999053855,0.042,0.083,1,"asRNA:CR44063"
"stas",0.475573327488643,0.109615196074933,1,1,1,"stas"
"CG8908",0.475587609288474,-0.0498341937611784,0.75,0.458,1,"CG8908"
"PGRP-SC1b",0.475713881744165,-0.0170758572975291,0.083,0.083,1,"PGRP-SC1b"
"lncRNA:CR43490",0.475715661861388,-0.0250430457912714,0.083,0.042,1,"lncRNA:CR43490"
"CG3823",0.475727569177463,-0.014861177914165,0.583,0.25,1,"CG3823"
"Den1",0.475836697713182,0.104747945577743,1,1,1,"Den1"
"CG31810",0.475856085197502,-0.023468713479228,0.083,0.042,1,"CG31810"
"hpRNA:CR18854",0.476188291712488,0.0997937902247551,1,1,1,"hpRNA:CR18854"
"Ppcdc",0.476216590258128,0.0967791318489137,1,0.833,1,"Ppcdc"
"CG12824",0.476260686167908,0.00618175711151991,0.333,0.125,1,"CG12824"
"Sirt4",0.476317611240656,-0.0346878131722734,0.917,0.667,1,"Sirt4"
"CG13728",0.476371447999318,-0.0342876794992826,0.042,0.083,1,"CG13728"
"lncRNA:CR43939",0.476455490116985,0.0187683395597054,0.25,0.042,1,"lncRNA:CR43939"
"CG13675",0.476469080746256,-0.0167467844896532,0.083,0.083,1,"CG13675"
"lncRNA:CR45660",0.476578394798817,0.0746864711991417,0.708,0.208,1,"lncRNA:CR45660"
"CG13693",0.476608896257361,-0.0263677600424943,0.708,0.375,1,"CG13693"
"ninja-Dsim-like{}5182",0.476620230690687,-0.018650572195213,0.542,0.208,1,"ninja-Dsim-like{}5182"
"mt:ATPase8",0.476841571294112,0.0134415659325287,0.417,0.125,1,"mt:ATPase8"
"feo",0.47684837994882,0.0689990453093898,0.792,0.25,1,"feo"
"CG11449",0.47692336753313,-0.0689645657820099,0.625,0.333,1,"CG11449"
"tamo",0.477107835764635,0.111789929822774,1,1,1,"tamo"
"Megf8",0.47713521507593,-0.010434826875298,1,1,1,"Megf8"
"Obp56a",0.477158479685805,0.0787750667257612,0.875,0.417,1,"Obp56a"
"Cr1a{}3929",0.477176206962081,0.0192550011812607,0.292,0.042,1,"Cr1a{}3929"
"CG4278",0.477357494339614,-0.0195277391155861,1,0.833,1,"CG4278"
"ZIPIC",0.477395773260483,-0.0565476150466444,1,1,1,"ZIPIC"
"hyd",0.477532023274088,0.0939507662267442,1,1,1,"hyd"
"CG13630",0.477544504171225,-0.0372061298914881,0.917,0.583,1,"CG13630"
"1360{}3689",0.47756314218381,-0.0404482308100711,1,0.583,1,"1360{}3689"
"CG14913",0.477649284717004,-0.0192109615096392,0.083,0.083,1,"CG14913"
"fy",0.477701030540354,0.108301186457883,0.958,0.75,1,"fy"
"CG3106",0.477916164476583,-0.0110867956047942,0.083,0.083,1,"CG3106"
"P5CDh2",0.477936561717711,0.00618104350772519,0.208,0.042,1,"P5CDh2"
"Hs6st",0.477979888120234,0.0729839561576262,1,1,1,"Hs6st"
"CG12984",0.478038666978723,-0.0340034393530928,0.042,0.083,1,"CG12984"
"CG13220",0.478075811197886,0.0940370990570338,1,0.625,1,"CG13220"
"lectin-46Ca",0.478134100958347,0.014781118839081,0.5,0.167,1,"lectin-46Ca"
"CG30049",0.478242836119303,-0.0332497458922756,0.042,0.083,1,"CG30049"
"CG31068",0.478254576670294,0.110422520028542,1,0.708,1,"CG31068"
"CheA86a",0.478301345056895,-0.0472019474231331,0,0.083,1,"CheA86a"
"Oatp58Da",0.478301345056895,-0.0472019474231331,0,0.083,1,"Oatp58Da"
"Rrp46",0.478341162940147,-0.00484818777733675,0.542,0.292,1,"Rrp46"
"CG32454",0.478369398402781,-0.0461787084050362,0.917,0.667,1,"CG32454"
"CG11044",0.478450490201831,-0.0218030444567132,0.083,0.083,1,"CG11044"
"atlas",0.478473600090373,-0.031480443014761,0.042,0.083,1,"atlas"
"Cpr64Aa",0.478710631139948,0.000767044322748767,0.208,0.042,1,"Cpr64Aa"
"gtwin{}4696",0.478829205537634,-0.0473665656607052,0,0.083,1,"gtwin{}4696"
"fbl",0.478921042907864,0.128858692925036,1,1,1,"fbl"
"Obp83ef",0.47892699155559,-0.0314502420650058,0.042,0.083,1,"Obp83ef"
"lncRNA:CR45724",0.47892699155559,-0.0314502420650058,0.042,0.083,1,"lncRNA:CR45724"
"lncRNA:CR44366",0.478950134516074,-0.0204443161198107,0.917,0.583,1,"lncRNA:CR44366"
"CG6026",0.479021226390195,0.00251214381239517,0.375,0.125,1,"CG6026"
"Rnb",0.479039105108632,0.0933335915533617,1,1,1,"Rnb"
"lncRNA:CR46114",0.479109081251115,0.00644455267546284,0.167,0.042,1,"lncRNA:CR46114"
"CG12129",0.479114089773918,-0.031587191483665,1,0.875,1,"CG12129"
"Dlic",0.479227192414436,0.0147382242919051,1,1,1,"Dlic"
"lncRNA:CR43719",0.479309781191204,-0.0017976952655685,0.167,0.042,1,"lncRNA:CR43719"
"CG15888",0.479364146815619,-0.0109229843958598,0.083,0.083,1,"CG15888"
"CG33253",0.479613410954028,-0.0048364360432247,0.5,0.167,1,"CG33253"
"lncRNA:CR44828",0.47962806546195,0.00115565390351691,0.375,0.208,1,"lncRNA:CR44828"
"Psf2",0.479628798486522,-0.0330072128673029,0.042,0.083,1,"Psf2"
"RpL38",0.479697120664025,-0.0509964567351995,1,1,1,"RpL38"
"Max{}5599",0.479844832751763,0.0105318779074421,0.208,0.042,1,"Max{}5599"
"CG7220",0.479970784698042,-0.000529257374509373,1,1,1,"CG7220"
"lncRNA:CR45337",0.480014084472138,0.0189676712177951,0.25,0.042,1,"lncRNA:CR45337"
"Sfmbt",0.480166375284596,0.00854719725304931,1,1,1,"Sfmbt"
"timeout",0.480294479594733,-0.0310578168667992,1,1,1,"timeout"
"CG7264",0.480343999957046,0.0742512319767696,0.792,0.292,1,"CG7264"
"CG43795",0.480419083331668,0.0154330508191629,1,1,1,"CG43795"
"mey",0.48042329166608,-0.0148008639927273,0.083,0.083,1,"mey"
"Zaf1",0.480445469405891,0.0704783394054136,1,0.792,1,"Zaf1"
"lncRNA:CR44384",0.480457185103461,0.0881978375645955,0.667,0.125,1,"lncRNA:CR44384"
"1360{}6480",0.48071564572583,-0.00246035706266223,0.167,0.042,1,"1360{}6480"
"CG1888",0.480715957760288,0.11596758874407,1,1,1,"CG1888"
"asRNA:CR45868",0.480751837646327,0.013909153487532,0.25,0.042,1,"asRNA:CR45868"
"CG17065",0.480858628515483,-0.0220326723295905,1,1,1,"CG17065"
"Coq3",0.48087329271146,0.0636102515610171,0.75,0.208,1,"Coq3"
"CG1663",0.48090492351207,0.109426746966972,1,0.917,1,"CG1663"
"Acsx1L",0.480985056427687,-0.0296460484292913,0.042,0.083,1,"Acsx1L"
"RPA1",0.481121859056799,0.122212032730495,1,0.833,1,"RPA1"
"hoe2",0.48116164572159,-0.0323057646346672,1,1,1,"hoe2"
"PhKgamma",0.481162233597978,0.0132422461576219,1,1,1,"PhKgamma"
"CG42355",0.481220661099599,-0.0239411226355335,0.083,0.042,1,"CG42355"
"CG6729",0.481266938168578,-0.0336376290281448,1,0.958,1,"CG6729"
"hoip",0.481357867168505,0.00298609639708403,0.5,0.167,1,"hoip"
"CG43163",0.481388396557279,0.0850954816203777,1,1,1,"CG43163"
"rumi",0.481479848083684,0.0600844412012131,0.708,0.208,1,"rumi"
"Ntl",0.481602468655827,0.0432270577821621,0.792,0.375,1,"Ntl"
"Bari2{}506",0.481683392653186,-0.0385506968487048,0.042,0.042,1,"Bari2{}506"
"mia",0.481713785717219,0.0846733732699043,0.958,0.667,1,"mia"
"NtR",0.481987882357436,0.000205041361700076,0.125,0.083,1,"NtR"
"CG1246",0.482093419584309,0.0139306515698179,0.208,0.042,1,"CG1246"
"CG5455",0.48211795500272,0.083123187799079,1,1,1,"CG5455"
"CG30393",0.482140500782068,-0.0337158867240541,0.042,0.083,1,"CG30393"
"Mon1",0.482174323095211,-0.0436342421033995,1,1,1,"Mon1"
"CG9932",0.482187322579317,0.0795622298360374,1,1,1,"CG9932"
"udt",0.482246790458508,0.0865591022367651,1,0.958,1,"udt"
"CG31103",0.482329562966847,-0.0337061140721922,0.042,0.083,1,"CG31103"
"CG7715",0.482493016802105,0.0157341144712753,0.375,0.167,1,"CG7715"
"CG14820",0.482624127992173,-0.00303640883875644,0.125,0.042,1,"CG14820"
"Acf",0.482725303560671,0.0879713665272585,1,1,1,"Acf"
"xmas",0.482816267089894,-0.0379981695805363,1,1,1,"xmas"
"CG42525",0.482869108072197,-0.0302875428067555,0.042,0.083,1,"CG42525"
"lncRNA:CR45626",0.482869108072197,-0.0302875428067555,0.042,0.083,1,"lncRNA:CR45626"
"fred",0.482969720509636,0.0793113066000863,1,1,1,"fred"
"CG3088",0.483037122947371,0.00150846130964322,0.167,0.042,1,"CG3088"
"CCY",0.483216589685634,0.00165583800039393,0.167,0.042,1,"CCY"
"Dbp73D",0.483250141845847,-0.0369061575439185,0.958,0.792,1,"Dbp73D"
"lncRNA:CR46249",0.483549453810956,0.00617579651042188,0.208,0.042,1,"lncRNA:CR46249"
"roo{}1055",0.483737930370195,0.0925007735944994,1,0.875,1,"roo{}1055"
"CG43678",0.483760577702242,0.0098524094184862,0.208,0.042,1,"CG43678"
"NOF{}Pka-R1-FB-NOF",0.483775022928988,0.102616612477008,1,0.958,1,"NOF{}Pka-R1-FB-NOF"
"opus{}6546",0.483961856427554,-0.0698658634820939,0.958,0.708,1,"opus{}6546"
"lncRNA:CR45226",0.483968052836853,0.0589929166038008,0.625,0.25,1,"lncRNA:CR45226"
"Or65c",0.484014801382351,0.00970300826280734,0.208,0.042,1,"Or65c"
"asRNA:CR44207",0.484299552771953,0.00934038751813127,0.375,0.167,1,"asRNA:CR44207"
"Hira",0.484398618291617,-0.0127701242082718,1,0.958,1,"Hira"
"asRNA:CR43243",0.484415263627945,-0.0161884467440938,0.083,0.083,1,"asRNA:CR43243"
"F{}1037",0.484427869643911,0.00978436536890737,0.208,0.042,1,"F{}1037"
"Or7a",0.484489621565439,0.0186651291203441,0.208,0.042,1,"Or7a"
"CG11598",0.484510700534722,-0.0324908835675046,0.042,0.083,1,"CG11598"
"Cluap1",0.484901222252564,-0.0196217117011575,0.083,0.083,1,"Cluap1"
"CG12945",0.484918365173386,0.089297356094109,1,1,1,"CG12945"
"lncRNA:CR45290",0.485022540890598,0.00436025522688421,0.458,0.167,1,"lncRNA:CR45290"
"CG8026",0.48514040945849,0.103873405326583,1,1,1,"CG8026"
"CG9759",0.485235231749908,-0.0325859668620136,0.042,0.083,1,"CG9759"
"lncRNA:CR30009",0.485241203297934,0.009414213385603,0.208,0.042,1,"lncRNA:CR30009"
"Cmtr1",0.485320740776889,0.124297186272351,1,1,1,"Cmtr1"
"lncRNA:CR45956",0.485324982383373,-0.0272804466254355,0.042,0.083,1,"lncRNA:CR45956"
"Rt1a{}1276",0.485393431919327,-0.0148370769123574,0.083,0.083,1,"Rt1a{}1276"
"RR50960",0.485481654030334,0.0577259103143053,0.875,0.292,1,"RR50960"
"CG34348",0.485547830865408,-0.00903369263528875,1,1,1,"CG34348"
"opus{}RR48319",0.485722846711693,-0.0305841268678924,0.042,0.083,1,"opus{}RR48319"
"VGAT",0.485723644267723,0.0921846553900325,1,1,1,"VGAT"
"CG9312",0.485794549049426,0.0142219846621137,0.208,0.083,1,"CG9312"
"3S18{}1090",0.485927596077334,-0.0204776414260639,0.083,0.083,1,"3S18{}1090"
"CG3071",0.486233556853397,0.112222518167327,1,0.583,1,"CG3071"
"micropia{}5049",0.486290203643107,0.00926022126147785,0.208,0.042,1,"micropia{}5049"
"CG3165",0.486320126180625,-0.0387975970719845,0.958,0.667,1,"CG3165"
"Nepl4",0.486364535571967,-0.0444662968314056,0,0.083,1,"Nepl4"
"CG33159",0.486377434642592,-0.0442435582267295,0,0.083,1,"CG33159"
"BBS8",0.486417097727124,-0.0304193096955334,0.042,0.083,1,"BBS8"
"CG43775",0.486488104366892,-0.0226234553287119,0.708,0.375,1,"CG43775"
"sll",0.486781099274223,0.12140261070821,1,0.792,1,"sll"
"CG4592",0.486843991688177,0.0272357845892541,0.292,0.042,1,"CG4592"
"CG7387",0.486970680594048,0.0205007863233799,0.333,0.083,1,"CG7387"
"CG34260",0.48714951950804,0.101448650759946,0.625,0.083,1,"CG34260"
"Asap",0.48729809051467,0.00310278920344986,1,1,1,"Asap"
"narya",0.487595267941343,-0.0304656231080402,0.042,0.083,1,"narya"
"FW{}RR50516",0.487681980227773,0.0941320886591912,1,0.583,1,"FW{}RR50516"
"asRNA:CR44806",0.487831406417556,0.00934681397648784,0.208,0.042,1,"asRNA:CR44806"
"Gale",0.487841330656644,-0.0427502247985374,1,1,1,"Gale"
"Stalker4{}4097",0.487886203468571,-0.0243731591120904,0.917,0.667,1,"Stalker4{}4097"
"CR30279",0.487990350586598,-0.0274385427242159,0.042,0.083,1,"CR30279"
"CG13972",0.488246714428139,-0.0277575874326255,0.042,0.083,1,"CG13972"
"CG17207",0.488264664088043,0.0164287487248691,0.375,0.125,1,"CG17207"
"INE-1{}5643",0.48844189123877,0.0247771089785997,0.292,0.042,1,"INE-1{}5643"
"CG9130",0.488666570245063,-0.0308262138212809,0.042,0.083,1,"CG9130"
"Ugt35D1",0.4887219728059,-0.0441394061638753,0,0.083,1,"Ugt35D1"
"X{}4054",0.488759364727844,0.00818358132659736,0.458,0.167,1,"X{}4054"
"CG42494",0.488844261834331,0.0878560964690598,1,0.875,1,"CG42494"
"FeCH",0.488915067021019,-0.0284270485406966,1,0.917,1,"FeCH"
"INE-1{}3664",0.48894822246984,-0.0113817280992121,0.083,0.083,1,"INE-1{}3664"
"CG10005",0.4891779641072,-0.016237631721622,0.083,0.083,1,"CG10005"
"Ir67c",0.489198970650823,0.023765722090503,0.25,0.042,1,"Ir67c"
"Adgf-B",0.489227749702777,0.0326798481918855,0.292,0.042,1,"Adgf-B"
"lncRNA:CR45583",0.489315869618752,-0.0325679331093154,0.042,0.083,1,"lncRNA:CR45583"
"Mur29B",0.489359692541626,0.0135551714044979,0.25,0.042,1,"Mur29B"
"Ivk{}448",0.489423863160107,-0.0308062113339878,0.042,0.083,1,"Ivk{}448"
"CG8172",0.489453962107096,-0.0308935712826255,0.042,0.083,1,"CG8172"
"PolI",0.489731313632864,0.0989576183941936,1,1,1,"PolI"
"Gr63a",0.49019099262915,-0.0325390157330805,0.042,0.083,1,"Gr63a"
"Or43b",0.490193289393881,0.0918201908226193,1,0.625,1,"Or43b"
"INE-1{}3274",0.490398198822234,0.0184607311382923,0.25,0.042,1,"INE-1{}3274"
"G2{}427",0.490448443175755,0.0246948613601576,0.292,0.042,1,"G2{}427"
"Gabat",0.490453842402839,0.101753487268001,1,1,1,"Gabat"
"lncRNA:CR44491",0.490491013452347,-0.0301119607025697,0.042,0.083,1,"lncRNA:CR44491"
"asRNA:CR45907",0.490501428282416,0.05914181247174,0.833,0.208,1,"asRNA:CR45907"
"F{}353",0.490558264927003,0.0117655417521645,0.208,0.042,1,"F{}353"
"CG1092",0.490650857598731,0.0276796427934389,0.25,0.042,1,"CG1092"
"lncRNA:CR45308",0.49066565976354,0.114341751990986,1,1,1,"lncRNA:CR45308"
"roo{}1460",0.490993237365188,0.050702017410047,0.833,0.458,1,"roo{}1460"
"CG5742",0.491019276763066,0.005984144748167,1,1,1,"CG5742"
