"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CG7044",0.692958260205281,0.0845892581809387,1,0.875,1,"CG7044"
"CG46397",0.693082838662921,-0.0381196227625011,0.083,0.125,1,"CG46397"
"Tsp42Ep",0.693111830798947,-0.0280510249122168,0.958,0.75,1,"Tsp42Ep"
"CG10559",0.693136970885329,-0.0483951791110702,0.042,0.125,1,"CG10559"
"eIF3f2",0.69316476047223,-0.00184446223533108,0.25,0.208,1,"eIF3f2"
"STUB1",0.693271744147403,0.0272855406996064,1,1,1,"STUB1"
"CG5757",0.693418411892656,0.0337957954923978,0.625,0.375,1,"CG5757"
"CG31495",0.693543531737075,-0.00571878431835238,0.292,0.167,1,"CG31495"
"Polr3E",0.693875545925788,0.0745942822606747,1,0.958,1,"Polr3E"
"CG7741",0.693954676098306,0.0952753007147948,1,0.958,1,"CG7741"
"lncRNA:CR46073",0.693959042545021,0.0744187751177536,0.375,0.083,1,"lncRNA:CR46073"
"CG7370",0.694076115224834,-0.0041165186412675,0.25,0.208,1,"CG7370"
"NimC2",0.694083549547684,0.000923293717188578,0.25,0.208,1,"NimC2"
"mt:ND4L",0.694144083828994,-0.00217943665285869,0.292,0.167,1,"mt:ND4L"
"X{}RR48380",0.694425257472594,-0.0193743447705153,0.125,0.125,1,"X{}RR48380"
"CG4880",0.694527645452674,0.0497516631330059,0.625,0.583,1,"CG4880"
"CG10073",0.694758851406134,-0.0602832252458301,0,0.125,1,"CG10073"
"ari-1",0.694816428910662,0.0491433474275073,1,1,1,"ari-1"
"CG8757",0.694905768499183,-0.029955672215257,0.708,0.708,1,"CG8757"
"Tcs6",0.694936967271462,0.0564225446810509,0.667,0.458,1,"Tcs6"
"asRNA:CR44207",0.695051399021869,-0.00675078806321583,0.167,0.167,1,"asRNA:CR44207"
"asRNA:CR45202",0.695168211314838,-0.00756371967345704,0.167,0.167,1,"asRNA:CR45202"
"ppk18",0.695246525225671,-0.059859945053347,0,0.125,1,"ppk18"
"CG8813",0.695288401999171,-0.00412355702247247,0.25,0.208,1,"CG8813"
"smo",0.695774711416258,0.101349251559857,1,1,1,"smo"
"CR32009",0.695845234833141,-0.0138687938324491,0.75,0.5,1,"CR32009"
"CG8708",0.696036720736965,-0.00444038354101473,0.167,0.167,1,"CG8708"
"bumpel",0.696119158156314,0.10833221706445,1,0.958,1,"bumpel"
"zda",0.696370179936701,0.0956982023309805,1,1,1,"zda"
"lncRNA:CR46494",0.696443305311232,0.0463192896141313,0.75,0.458,1,"lncRNA:CR46494"
"GstE7",0.696443591780334,-0.0070866738794706,0.25,0.208,1,"GstE7"
"LManI",0.696493265612302,-0.0228056055896619,0.667,0.542,1,"LManI"
"CG32074",0.696544031830155,-0.0156539195895364,0.25,0.208,1,"CG32074"
"CG11035",0.696949018228471,0.0694905734203952,0.958,0.833,1,"CG11035"
"17.6{}6491",0.697015301677817,-0.0351749766742158,0.083,0.125,1,"17.6{}6491"
"lncRNA:CR44630",0.697073479647763,-0.0590485210676466,0,0.125,1,"lncRNA:CR44630"
"Est-Q",0.697104272248488,-0.0232895972596889,0.458,0.333,1,"Est-Q"
"ICA69",0.697114169663155,0.078147818511717,1,0.958,1,"ICA69"
"CG16896",0.697670379895316,0.00253419723603399,1,0.958,1,"CG16896"
"CG6984",0.697721551307496,-0.0160226328119544,0.625,0.333,1,"CG6984"
"gypsy12{}RR48355",0.697996543387289,0.0475595894814793,0.708,0.542,1,"gypsy12{}RR48355"
"SCOT",0.69819507827842,-0.0168907938785035,0.917,0.958,1,"SCOT"
"CG7573",0.698216173994893,-0.0151113198781472,0.125,0.125,1,"CG7573"
"AsnRS",0.698321302090189,-0.0136707752162875,1,1,1,"AsnRS"
"CG17124",0.698487145210254,0.0985680421539407,1,1,1,"CG17124"
"CG1116",0.698644584064188,0.0796301243800985,1,1,1,"CG1116"
"CG13026",0.698660219156022,-0.0454961267225764,0.042,0.083,1,"CG13026"
"asRNA:CR45053",0.69868463867327,-0.00154935759379882,0.292,0.167,1,"asRNA:CR45053"
"CG3788",0.698932662825379,0.0660908954303077,0.708,0.542,1,"CG3788"
"CG1441",0.698944083670251,-0.0582396118939172,0,0.125,1,"CG1441"
"INE-1{}2256",0.699302541901839,-0.0358936027495593,0.083,0.125,1,"INE-1{}2256"
"gypsy12{}2928",0.699575703909227,-0.0154675723839324,0.375,0.333,1,"gypsy12{}2928"
"IKKbeta",0.699835766640401,-0.00825328505719591,0.917,0.917,1,"IKKbeta"
"Fis1",0.700029353760321,0.0130092467443845,1,1,1,"Fis1"
"CG13154",0.700064469484549,-0.00399886316183373,0.208,0.125,1,"CG13154"
"baggins{}662",0.700196631325153,0.00818625764766256,0.292,0.167,1,"baggins{}662"
"CG44521",0.700259398360441,-0.00269451205667259,1,0.958,1,"CG44521"
"lncRNA:CR45762",0.700340779811347,0.0778724050944453,0.333,0.083,1,"lncRNA:CR45762"
"Obp57c",0.70039916729915,-0.0503583217478045,0.042,0.083,1,"Obp57c"
"CG8032",0.700412708046269,0.0960744162882121,1,1,1,"CG8032"
"lncRNA:CR44131",0.700429079061414,-0.00646933146784168,0.125,0.125,1,"lncRNA:CR44131"
"1360{}Eph[1520]",0.700466680086079,-0.0305438855755309,0.708,0.583,1,"1360{}Eph[1520]"
"hpRNA:CR32205",0.700496517181249,-0.0677177389625578,0.083,0.083,1,"hpRNA:CR32205"
"Nup205",0.700628412068215,0.029709882343022,1,1,1,"Nup205"
"Cdc27",0.700654925083772,0.0271924485392363,1,1,1,"Cdc27"
"Polr2K",0.700770018678607,0.0573008401913162,0.792,0.5,1,"Polr2K"
"NitFhit",0.700984747345704,0.0967645830415798,0.958,0.833,1,"NitFhit"
"asRNA:CR44114",0.700989677112136,-0.0426808421419143,0.417,0.25,1,"asRNA:CR44114"
"CG4743",0.70120097611039,-0.0126395216985986,0.875,0.958,1,"CG4743"
